1,To Kill a Mockingbird,Harper Lee,978-0-06-093546-7,Harper Perennial
2,Test,George Orwell,978-0-452-28423-4,Penguin Books
3,The Great Gatsby,F. Scott Fitzgerald,978-0-7432-7356-5,Scribner
4,Pride and Prejudice,Jane Austen,978-0-14-143951-8,Penguin Books
5,The Catcher in the Rye,J.D. Salinger,978-0-316-76948-1,Little Brown and Company
6,The Hobbit,J.R.R. Tolkien,978-0-618-26030-0,Houghton Mifflin
7,The Diary of a Young Girl,Anne Frank,978-0-553-57795-6,Bantam
9,Brave New World,Aldous Huxley,978-0-06-085052-4,Harper Perennial
10,Animal Farm,George Orwell,978-0-452-28424-1,Penguin Books
11,1984,George Orwell,978-0-452-28425-8,Penguin Books
12,Crime and Punishment,Fyodor Dostoevsky,978-0-679-73032-9,Vintage
13,War and Peace,Leo Tolstoy,978-0-679-78330-4,Vintage
14,Les Misérables,Victor Hugo,978-0-679-78348-9,Signet Classics
15,The Lord of the Rings,J.R.R. Tolkien,978-0-618-25760-7,Houghton Mifflin Harcourt
16,Great Expectations,Charles Dickens,978-0-14-143956-3,Penguin Books
17,The Alchemist,Paulo Coelho,978-0-06-231500-7,HarperOne
18,Fahrenheit 451,Ray Bradbury,978-1-4516-7331-9,Simon & Schuster
19,Moby Dick,Herman Melville,978-1-5011-9671-3,Simon & Schuster
20,The Odyssey,Homer,978-0-14-026886-7,Penguin Classics
